application_id,start_date,completion_date,city
10030604,2018-06-27T17:40:19.146Z,2018-06-27T18:12:30.013Z,Chicago
10030606,2018-06-27T19:15:46.729Z,2018-06-27T20:12:04.722Z,Chicago
10030608,2018-06-27T19:17:38.168Z,2019-05-15T06:25:11.559Z,Los Angeles
10030610,2018-06-27T19:42:17.272Z,2018-06-27T20:47:56.012Z,Chicago
10030613,2018-06-27T21:12:39.309Z,,Chicago
10030643,2018-06-28T16:35:00.005Z,2018-06-28T16:50:46.202Z,Chicago
10030674,2018-06-29T23:38:15.654Z,2018-06-30T00:11:23.263Z,Chicago
10030684,2018-07-02T02:18:22.600Z,2018-07-03T21:29:16.590Z,Los Angeles
10030700,2018-07-02T17:39:25.869Z,2018-07-02T21:25:11.312Z,Chicago
10030702,2018-07-02T20:32:36.021Z,2018-07-02T20:43:20.010Z,Chicago
10030707,2018-07-02T21:50:39.253Z,2018-07-03T00:00:10.776Z,Chicago
10030726,2018-07-03T04:45:44.042Z,2018-10-27T04:59:57.362Z,Los Angeles
10030744,2018-07-03T18:02:28.680Z,2018-11-26T16:39:17.928Z,Chicago
10030746,2018-07-03T18:03:13.498Z,2018-07-03T18:18:30.665Z,Chicago
10030754,2018-07-03T18:34:13.798Z,2020-02-02T22:44:07.176Z,Chicago
10030777,2018-07-03T21:27:15.794Z,2019-04-18T13:04:26.238Z,Chicago
10030783,2018-07-03T21:28:58.615Z,2018-07-03T21:43:08.265Z,Chicago
10030812,2018-07-04T04:11:01.761Z,2018-11-16T18:27:34.002Z,Los Angeles
10030826,2018-07-04T14:37:58.830Z,2018-11-29T16:58:38.630Z,Chicago
10030830,2018-07-04T18:09:24.372Z,2018-07-04T18:27:33.504Z,Chicago
10030854,2018-07-05T14:06:24.122Z,2018-07-25T15:38:57.812Z,Chicago
10030911,2018-07-07T16:06:39.892Z,2018-07-07T16:30:04.207Z,Chicago
10030920,2018-07-08T01:09:34.038Z,2018-07-08T19:50:43.281Z,Los Angeles
